Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000345983174585354,7.58960923721349E-05,0.0058681101257944,0,0,0,6.18169186072013,0.038926997146592,7.41948263118682E-07,2.47966858123225E-06,0.0454621837440688,5.38293839152799E-07,0.0778333630810823,0,0,0,0,0,0,package://sizu/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/base_link.STL,,总装配(中控+连接电机部分)-2/中控-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_center_FL,-0.000984181618777502,-0.000539907314238933,-0.0344657673548433,0,0,0,0.151750032843904,7.5000827940603E-05,-1.80328417036782E-06,1.62329378451308E-06,7.72600969691206E-05,8.8612311501709E-07,7.72691235265936E-05,0,0,0,0,0,0,package://sizu/meshes/leg_center_FL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/leg_center_FL.STL,,总装配(中控+连接电机部分)-2/CRA-RI50-60-PRO-XX电机（对称）-2,leg_center_FL,Axis_leg_center_joint_FL,leg_center_joint_FL,fixed,0.164022451884239,0.128788837741078,0.0596,0,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa_FL,0.0349479257269803,0.0150821953208431,0.01312436506878,0,0,0,0.0139205734037215,5.36839717263992E-06,-4.33858462133066E-06,-4.49435330255478E-06,1.84250868043166E-05,-1.44305974323721E-06,1.85333303072586E-05,0,0,0,0,0,0,package://sizu/meshes/coxa_FL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/coxa_FL.STL,,电机连接2-1,C_FL,C_FL_Z,coxa_joint_FL,revolute,0,0,0,0,0,0.859157221401351,leg_center_FL,0,0,-1,20,5,-3.14,3.14,,,,,,,,
femur_FL,-2.8290032955125E-08,-0.0799992256173729,-0.0352270094528477,0,0,0,0.564860251555163,0.00108280941839129,1.14007575175072E-12,4.03771934435152E-10,0.000268128803194372,-1.11165887187653E-08,0.00109208175639276,0,0,0,0,0,0,package://sizu/meshes/femur_FL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/femur_FL.STL,,蜘蛛腿2-2/电机连接块-2;蜘蛛腿2-2/CRA-RI50-60-PRO-XX电机（裸）-1;蜘蛛腿2-2/CRA-RI50-60-PRO-XX电机（裸）-2,F_FL,F_FL_Z,femur_joint_FL,revolute,0.071812500553864,0.0225000000000007,0.0249999999999994,-1.5707963267949,1.56188685955525,0,coxa_FL,0,0,-1,20,5,-3.14,3.14,,,,,,,,
tibia_FL,0.0015025482165212,0.118127367993487,-0.010000000000007,0,0,0,0.223962200244063,0.00177096475927416,-2.63666154187109E-05,2.92226366802734E-20,3.53555327183628E-05,1.84653182501437E-19,0.00179138947864291,0,0,0,0,0,0,package://sizu/meshes/tibia_FL.STL,0,0,0,1,0,0,0,0,0,0,package://sizu/meshes/tibia_FL.STL,,蜘蛛腿2-2/腿-3,T_FL,T_FL_Z,tibia_joint_FL,revolute,0,-0.160000000000001,0,3.14159265358979,0,-0.0146164577102469,femur_FL,0,0,1,20,5,-3.14,3.14,,,,,,,,
foot_FL,-6.2889948165834E-08,-0.01284632472796,5.72240199170349E-07,0,0,0,0.119111638735885,5.18717436709438E-05,3.87014135332823E-11,-3.91011940777081E-10,9.07772739966863E-05,-3.52357887122064E-10,5.18748153106627E-05,0,0,0,0,0,0,package://sizu/meshes/foot_FL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/foot_FL.STL,,末端装配初版-4/连接件1-1;末端装配初版-4/连接件2-1,FO_FL,Axis_foot_joint_FL2,foot_joint_FL,continuous,0.0043211,0.34457,-0.01,0,0.0016477,0,tibia_FL,0,1,0,,,,,,,,,,,,
leg_center_FR,-0.000914319264313568,0.000511438701601752,-0.0344892575360837,0,0,0,0.151422817356907,7.4800841147814E-05,1.7127448625274E-06,1.50806328665153E-06,7.68405070633817E-05,-8.39161910801714E-07,7.67441292424312E-05,0,0,0,0,0,0,package://sizu/meshes/leg_center_FR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/leg_center_FR.STL,,总装配(中控+连接电机部分)-2/CRA-RI50-60-PRO-XX电机-4,leg_center_FR,,leg_center_joint_FR,fixed,0.16402,-0.12879,0.0596,0,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa_FR,0.0349691822043686,-0.0150716882669286,0.0131191004747114,0,0,0,0.0139041982936839,5.36514451465002E-06,4.34122581805756E-06,-4.49333792188016E-06,1.84144100776991E-05,1.44240689645848E-06,1.85232717328501E-05,0,0,0,0,0,0,package://sizu/meshes/coxa_FR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/coxa_FR.STL,,电机连接1-2,C_FR,C_FR_Z,coxa_joint_FR,revolute,0,0,0,0,0,-0.865416762422833,leg_center_FR,0,0,-1,20,5,-3.14,3.14,,,,,,,,
femur_FR,-5.72578333399298E-07,-0.0799994791247958,0.0352270094606086,0,0,0,0.564860252574388,0.00108280942019988,5.85736835977021E-13,-8.22861062059775E-09,0.000268128801871478,7.48526845495141E-09,0.00109208175690243,0,0,0,0,0,0,package://sizu/meshes/femur_FR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/femur_FR.STL,,蜘蛛腿1-5/电机连接块-2;蜘蛛腿1-5/CRA-RI50-60-PRO-XX电机（裸）-1;蜘蛛腿1-5/CRA-RI50-60-PRO-XX电机（裸）-2,F_FR,F_FR_Z,femur_joint_FR,revolute,0.0718125005538652,-0.0224999999999998,0.0250000000000001,1.57079632679495,1.53030070647659,-3.14159265358974,coxa_FR,0,0,1,20,5,-3.14,3.14,,,,,,,,
tibia_FR,-0.00150254821652121,0.118127367993487,0.00999999999999884,0,0,0,0.223962200244063,0.00177096475927415,2.63666154187108E-05,-2.37169225231204E-20,3.53555327183625E-05,2.04134940288286E-18,0.00179138947864291,0,0,0,0,0,0,package://sizu/meshes/tibia_FR.STL,0,0,0,1,0,0,0,0,0,0,package://sizu/meshes/tibia_FR.STL,,蜘蛛腿1-5/腿-3,T_FR,T_FR_Z,tibia_joint_FR,revolute,0,-0.16,0,3.14159265358979,0,0.0368704591346709,femur_FR,0,0,-1,20,5,-3.14,3.14,,,,,,,,
